name,text_ingradiant,food_method
??????,?????????????????,"## ?????????????? 1



???????????????? ???? ? ??????? (?????????????) ???????????????????????????????????????????? ????????????????????????????????????? ???????????????????????????



## ?????????????? 2



?????????????????????????? ??????????????? ????????????? ?????????????????????????????????????????????????????????????? ??????????????????????????????????????



## ????????



?????????????????????? ?????????????? ? ????????????????????????????????????? ???????????????????? ?????????????????????? ?????? ?????? ??????????????"
????????????,"- ????? 1 ??
- ?????????????? 3 ???
- ????????
- ??????","?????????? ?????????????????????? ?????????? ????????????????????????????? ???????????????????????? ?????????????? ??????????????????? ?????????????????????????????????????????? ? ??????????????????????? ?????????????????????????????????? (?????????? ????????????????????)



**????????** ???????????????? ???????????????? ??????????????????????? ??????????????????????????????"
???????,"- ??????? 1 ???
- ??????? 1/2 ????????
- ???????? 1 ??????
- ???????? 2 -3 ??
- ?????????? 3 ???????? 6*8 ?????????
- ?????????????? 2 ???????? 5*7 ??????????
- ?????????? 3 ???
- ??????? (??????????) ??????? 1/2 ????
- ???????????? (???????????) ?????????????? 1/2 ????
- ??????????????? ? 1 ??????????
- ??????? 3 ????
- ???????? 1 ??????","??????????????? ????????????????? ? ?????????????????????????????????????????????????????????????? ??????????? ?????????????????????????????????? ??????????????????????????????????????????????? ??????????? ??????????????????????????????????? ? ????????? ?????????????????? ? ??? ? ??????????? ???????? 1 ??? ????????????? ????????????????????????????????????? 1 ??? ??????? 1 ??? ????????? 1 ??? ??????? 1 ??? ?????????? ? ??????????????????? ???????????? ?????????????????????????? (??????????????????????????????????? ? ????????????????????) ???????????? 6 ??



**?????????????** ???????????????????????????????? ? ??????????????????? ? ???? ? ?????????????????????? ????????????????????????????????????????????????????



????? ???????????????????? ? ???????? ???????????????????????????????????????????????????????????????????????????????? 2 ???? ??????????? ?????????????????????????????????????????????? ???????????????????? 10 ???? ???????????? (?????????????) ???????????????????????? ????????????????????????????????????? ??????????????????????????????????????????????????????????????? ??????????????????????????????????? ? ?????????????????????????????????? ?????????????????? ? ??????????? ????????????? ?????????????????????????????????????????????????????????????



???????????? ????????????????????????? ???????????????? ????????????? ? ???????????? ??????????????????????????????????????????? (???????????????????????????????????) ?????????????????????????????? ?????????????????????????????????????????? ? ??????????? ?????????



??????? ?????????? ??????????????????????? ????????????????????????????????????????????????? 1 ????? ??????????????????????????????? ????????????????????



????????? ??????????????????????????????????????????????????? ???????????????? ????????????????????????? ??????????



??????? ????????? ? ?????????????? ???????????????????????????????????????? ? ?? ?????????



??????? ??????????????????????????????????? ??????????"
????????????????,"- ??????? 8 ???
- ????????????????? 2 ??
- ?????? 10 ???
- ????????????? 5 ????
- ??????????? 5 ????
- ????? 2 ???
- ?????????????
- ?????",???????????????????????????? ?????????? ? ??????????? ??????????????????????????????? ?????????????????????????????????????????????? ????????????????????????????????? ??????????? ??????????????????????? ??????????????????????????????? ????????????????????? ???????????????????????????????????????????????? ??????????????????????????????????????????????? ???????????????????? ???????????????????????????????????????????????????????????????????????? ???????????????? ? ????????????????????????????????????????????? ??????????? ????? ???????? ??????????????????????????
?????????????????,"- ????????????????????????????? 1 ???
- ?????? 2 ??
- ???????? 1 ????????
- ??????
- ?????
- ??????????
- ??????
- ??????
- ??????",???????????????? ??????????????? 8 ???? ????????? 2 ?????? ?????????????????? ? ?????? ?????????????? ??????????? ?????? ??????????????? ?????????????????????? ?????? ??????????? ??????????????????????? ?????????????????????????????????????????????
????????,"- ?????????????????? 1 ??????
- ??????? 3 ???
- ?????????
- ????????
- ??????
- ??????????
- ???????? 5 ????
- ???????? 3 ???
- ???????
- ????????
- ??????
- ??????","?????????????????? ??????????????????????????????????????????????? ????????????? ?????????????????????????????????????????? (??????????????????????????????????) ????????????????????????????????????????????? ????????? ???????? ?????? ??????????????????? ???????? ????????????????? (??????????? ?) ??????????????????????????????????????????? ?????????????????????????? ???????????????????? ???????????????????????????????????????????????



**?????????** ???????? ????????????????? ????????????????????????????????????????? ?????????????????? ?????? ?????? ????????"
????????????,"- ????????? ?????????? 1 ??????
- ???????? 1/2 ??????
- ??????????????? 2 ????????
- ???????????????????????? 1 ????????
- ????????????????????? 1/2 ??????
- ??????????????????????? 2 ????????
- ???????? ????????? 2 ????????
- ??????????????? 2 1/2 ????????
- ????? 1/2 ??????
- ??????? 1 ??????
- ?????????? 1 ??????
- ?????????? ???????????? ?????????? ??????? ????????????? ??????? 1 ???????????? ?????????????????
- ???????????????????????????????????????","?????????????????????????? ???????????????????????????????????????????????????????????? ????? ?????? ??????? ???????????????????? ???? ??????????????????????????????? ??????????????????????????



??????????? ??? ???????????????? ? ?????? ??? ? ??????????????????????? ????????????????? ? ????????????? ??????????????????? ???????????? ??????????????"
?????????????,"- ???????? 6 ????
- ???????????? (??????????????????????) ???????? 2 ????????
- ??????????????? 1 ????????
- ?????? 6 ???
- ??????????????? 1 ??
- ?????????? 2 ????????
- ?????????
- ?????
- ???????
- ??????????????????????????",?????????????????? ???????????????? ? ?????????????????????????????? ? ???????????????????? ??????????????????? ???????????????????????? ?????????????????????????????????????? 1 ?????? ???????????? ?????? ????? ??????? ?????????????????????????? ?????????????????????????????????? ???????????????????????????????? (????????????????????????) ??????????????????????????????????????????? ??????????????????????????????????????? ?????????? ????????????????????????? (??????)
??????????????????,"- ??????????????? ? ?????? 1 ???????????
- ????????? 1 ???
- ??? 1 ???
- ????????? 1 ????????","?????????????? ? ?????? ???????? ????????????? ????????? ???????????????? ????????????????????? ??????????????????????????? ??????????????? ??????????? ??????????????????????????????? ?????????????????? ??????????????? ????????????????????????????? ?????????? ??????????? ??????????????????????????



**????????** ????????????????????? ??????????? ?????? ???????? ?????? ??? ????? ??????????????????? ??????????????????????????????? ?????????????????????? ????????????????????????????????????????? ??????????????????? ???????????????"
???????????,"- ???????? 12 ????
- ???????????????? ? 6 ????
- ???????????????? ? 1 ???????
- ?????? 3 ????????
- ?????? 1 ??????
- ???????? 1 ??????
- ?????? 1 ???
- ?????? 1 ???
- ????????? 2 ????
- ???????? 1 ????
- ?????? 5 ???
- ???????? 3 ????
- ??????? 5 ????
- ???????????????? 2 ?????????
- ?????? (??? 1 ?????????) 1 ????
- ????????? 1/2 ????","???????? ??????????????????? 1 - 2 ???????? (?????????? 2 1/2 ???? ???????????????) ?????????????????????????????? ?????????????????? ????????????????? 9 ????????????????????????????????? ??????? ??????????????????????? ??????????????????????? ?????????????????????????? ??????????????????????????????????????????????????? 16 ???? ?????????????????????????????????? ?????????? 3 ?????????????? ???????????? 14 ????????????????????? ?????????????????????????? 16 ???? ???????????? ?????????????????????????????????? ???????????????????????????????????????? ??????????????????????????? 18 ????????? ?????????? 3 ???? ????????????????????????????????? 3 ???? ?????????????????? ? ?????????? ?????????????? 16 ???????? ????????????????????????????????????? ?????????????????????????????????????????????????? 6 ???? ???????????????? ??????????????????????????? .03 ????????? ????????????????????????????????????????? ????????????????????????????????????????????????????????????????? ???????????????????????? ???????????????????? ????????????????????????????????????? 5*10 ????????? (????????????? ???????????????????????????) ???????????????????????? ?????????? ?????????????????????????????????????????????????????????????????



## ?????



?????????????? 4 ????????????????????? ? ?????????????????? ? ??????????? ??????????????????????????????????????????? ?????????????????????????????? ?????????????????????????????? ????????????????????????????? ????????????????????????? ??? ??? ????? ?????????????????? ???????????????? 1 ???????? ??????????????????????????????????????????? 1 ???????? ??????????????????????????????????????????? 1 ???????? ??????????????????????????????? ?????????????????????????? ??????????? ?????????????????????????? ???????????? ???????????????????????????????????? ???????????????????????????? ???????????????????????????????????????????????????????????????



**????????** ?????????????? ??????????????????? ? ?????? 3*6 ????????? ??????????????? ??????????????????????????????????? ????????????? ??????????????????? ??????????????????????? ???????????????????????? ???????????????????????????? ?????????????????????????????????? ? ???????????????????????????????????????????? ?????????????????????? ???????????????????? ??????????????? ??????????????????? ??????????????? ?????????



## ???????????



??????????????????????????????????????????????? ???????????????????????????????? ????????????????????????????????????? 2 ??? ?????????????????????? ??????????????????????? ????????????????? ????????????????????????????? ?????????????? ???????????????? ???????????????????????????????????????????? ???????????????????????????????????????????????????????????????????????????????? ????????? ??????????????????????????????????????????????????????????????? ??????????????????????????? ????????????????????????????????? ?????????????????????????????????????????????????????????????????????????? ????????????????????????????? ??????????????????????????????????????????????????????????????????? ????????????????????????????????????????????????????????????? ???????????????????????????????????? ???????? ? ???? ????????????????????? ??????????? ? ???????? ? ????? ??????????????????????????????????????????????????????????? ????????????????????????????????????? ???????????????????????? ??????????????????? ???????????????? ??????????????????????"
????????,"- ????????? ???????????????????? 1 ????
- ???????????????????????????? 1/2 ????
- ????????????????????? ? ?????????? 1 ????
- ????????????????? 2 ????????
- ?????????????????? (??????????) 1 ????????
- ?????????????????? 1/2 ????
- ?????? 1 ??
- ?????????????? 3-4 ????????
- ????? (????????????????????????) 1 - 2 ????????
- ????????????????????? 2 ????????
- ??????? ?????? ???? ??????????
- ????????
- ???????
- ?????????
- ?????????????????????????????????? 1/2 ????
- ??????????????????????????? 1 ????????
- ?????????????????? (?????? 5 ????) 1 ????????","????????????????????????????????????????????????????????????????????????? ? ?????????????????????????? ? ??? ??????????? ????????? ??????????????????????????????????????????????????????????? ???????????????????????????? ?????? ???????????????????? ????????????????????? ????????????????????????? ? ??????? ????????? ???????? ?????????? ????? ??????????????? ??? ? ????? ????????????????????????????



## ???????????????



???????????????????? ????????????????????



???????????



????????



???? ?????????????????????????????"
????????????,"- ??????????????? 2 ????
- ???????????????????? 2 ????
- ????????????? 2 ????
- ?????????????????? ? 4 ???????? ?????????????
- ???? ??????? ??????? ??????????",???????? ??????? ???????????????? ???????????????????? 2 ????? ?????????? ?????????????????????????? ????????? ?????????????????????????????? 2 ????????? ??????????? 4 ???? ???????????????????????????????????????????????? ??????????????????? ? ??????????????? ?????????????????????????????????????? ????????????????????????????????? ??????????????????????????????????????????????? (????????) ??????????????? 10-15 ???? ?????????????????? ???????????? ????????????? ????????????????????????
??????????,"# ??????????
## ?????????????????

- ???????? 21 ????
- ?????? 15 ????
- ???????? 15 ????
- ??? 5 ????
- ?????? 1 ???????????
- ???????? 1 ??????
- ???????? 1 ????????
- ????????? 1/2 ??????
- ??????? 1/2 ??????
- ????????? 1/8 ??????
- ????????? 1 ???
- ????? 7 ???
- ?????? 5 ???
- ????? 5 ???
- ???????? 2 ???
- ????? 1 ?????????? 2 ??? 5 ?.?.
- ??????? 7 ????
- ????????? 1 ?????????
- ???? 1 ??????
- ???????????? 10 ????

## ????????

- ????????????? ?.?.
- ??????????? 5 ?? ????????????? 2 ??
- ??????? 3 ??
- ?????? 3 ????
- ?????? 3 ????
- ???????????? ?.?.
- ????????????????? 8 ??????",????????????????? ? ????????????? (???????????????? ???????????????????????) ???????????????????? ????????? ?????? ???????? ??????????????????????????????????????????????????????? ? ???????? 2 ??? 3 ?.?. ??????????? ? ???????????????????? ????????????????????????????????????????????? ??????????????? ?????????????????????? ?????????????????????? 10 ????????????????? ?????????????????????????????????????????????? ???????? ??????????????????????? ????????????? ??????????? ???????????????????????????????
????????,"- ???????? 1/2 ????????
- ?????????? 15 ????
- ??????????????? 3 ????????
- ???????? 1/2 ????
- ?????????????? 2 ????
- ?????????????????????? 3 ??. ??? 2.5 ????????? 2 ????????
- ???????????????? 1 ??????
- ?????? 1 ????????
- ?????????????? 1 ????????
- ???????????? 2 ???
- ??????????
- ??????????
- ???????????","???????????????????????????????? ?????????????????? ???????????????????????? ?????????????????????? (???????) ????????????????????????????????????????????? ??????????????????????????????????????? ??????????????????????????????? ???????????????????????????? (????????????????? ??????) ???????????????????????????????????????????? ? ?????????????? ??????????????????????????? ?????????????? ?????? ?????????????????????????? ????????? ????????????????????????? ????????????? ?????????? ????????????????????? ? ??????????????????????????



## ??????????????



?????????????????????? 1 ????????? ????????? ??????????????????????? ???????????? 1 ????? ?????????????? 4 ??????????? (????????????) ??????????? ? ???????????????? ????????????????????????????????????? ?



## ????????????? ??????



??????????????????????????????????? ???????? ??????????????????????? ??????????????????? ?????????? ? ??? ?????????????????????? 3 ???? ????????????????????? 2 ???? ???????????????????????????????? 3 ????????? ??????????????????????????????????? ????????????????????????????????????????????????? ???????? 1-2 ??? ???????????????????????????? ???????????? ? ???????????????????????? ???????????????? ??????????????? ??????????????????????????????????????????? ????????????????????????????? ????????????????????????????????????????????????????????



??????????????????? ?????????????????????????????? 4 ??. ???????????????????????????? ? ???????????????????????????????????????????????????? ???????????????????????????????????"
???????????????????,"- ????????? 2 ??
- ??????? 10 ???
- ????????????????? 1 ???? ?????????? ???????????????????
- ???????????????????? 10 ???? ?????????????
- ?????????????
- ??????????????
- ?????
- ????????????
- ???????? 1 ????????
- ????????? 10 ???
- ???????? 1 ????
- ????????????????? ? 5 ????
- ??????????? 5 ???
- ????? 1 ??????",?????????????????????????????????????????? ???????????????????? ????????? 3 ????????? ??????????????? ?????????????????? 2 ????????? ???????  ???????????? ?????????????????????????????? ????????????????? ?????? ???? ????????????????? ????????????????? ???????????????????????? ???????????????????????????????????????? ?????????????????????????????????? ??????????????????? 3 ?? ?????????????????????? ???????????????? ??????????????????????????????? ?????????? (?????????????????)
???????????,"- ?????????????????????????????????? 1.05 ??.??. ????? 3 ????
- ???????????????????????? 1/2 ????
- ?????????????? 1/2 ????????
- ?????? 1/2 ????????
- ??????????? ???????? 1 ????
- ??????????????????????? ? 1 ???? (??????????????????????????????????)
- ??????? 2 ???
- ??????????????????? (?????????????) 1 ????
- ????????? 2 ????????
- ????????","???????????????????????? ???????????????????? 2 ???? ?????????? 2 ???? ??????????????????????????????????? ???????????????????????????????????????

????????????? ????????????????? ???????? ????????? ???????? ??? ??????? ?????? ?????? ???????? ????????? ?????????????????????????? ??????????????????????????????????????????? ??????????????????????????????????????????????????????????????? ??????????????????????????????????????? ???????????? ?????? ?????????????????????????????????? (????????????????) ??????????? ???????????? ?????? ??????????????????????????? ?????????????? 1 ?????? 2 ????????? (????????????????) ??????????????? 3 ??? 4 ???????????? ?????????????? ???????????????????????? ??????????????????????????????????????? ? ?????????????????????????????????????????????????????? ??????????????????????????????????????????? ??????????????? (??????????????????????????????????? ??????????????????????????????????????????????)



## ?????????



????????????????????????????????????? ?????????????????????????????????? ??????????????????? ??????????? ? ???? ? ???????????????????????????? ?????????????????????????????? ????????????????????????? ????????????????????????????????????????????????? ? ?????????? ????????????? 6 ????????? ??????????????????????????? ???????????????????????????????????????? 25 ????????? ????????????????????????????????????????? ???????????????????????????????????? ????????????????????????? ????????????????????????????????????????????????????? ???????????????????????????? ??????????????????????????????????????? ????????????????????? ????????????????? ?????????????????????????????????? ???????????? ??????????? ??????????????????????



## ????????



????????????????????????????????????????????????????? ????????????????????? ????????????????????????????????? 18-19 ????????? ????????????????????????????????????? ? ??? ??????????????????????? ????????????????????? ? ???????????????????????????????????????????????????????? ??????????????????????????????????????? ????????????? (??????????????) ??????????????? ????????????????????????? ?????????????????????? ????????????????????????????????????????????????????????????????????????????? ?????????????????????????????????????????????? ?????????????????? ? ???? ? ???????????????????????????????????????????????????????? ?????????????????? ? ???????????????????? ?????????????????????????????? ???????????????????????????



**????????** ??????????????????????? ????????????????????????? 1 ??????? ???????? ? ??????????????????????????????

**????????** ??????????????????????????????????????? ? ??????? ????????????????????????????????????? ???????????????????"
?????????,"- ???????? 1/2 ??.
- ?????????????????
- ???????? 1/2 ????
- ????????????? 1/2 ????
- ??????????????????? 2 ????????
- ??????????
- ?????????
- ?????
- ????????",??????????????????????????? ???????????? ???????????? ?????? ????? ???????? ???????????????????????????????? ???????????????? ???????????? ???? ??????? ??????????????? ??????????????????? ???????????????? ???????? ???????? ??????????????????????????????
???????????????????,"- ??????????????? 1 ???
- ???????????? 1 ???
- ?????? 12 ???
- ????????????????? 2 ??
- ????? 2 ???
- ??????
- ??????????
- ????????
- ??????????",?????????????????????????????????? ???????????????? ???????????? ??????????????????? ?????????? ?????? ????? ??????????????????????? ????????????? 30 ???? ????????????????????? ????????????????????????????? ?????????????? ???????????????? ?????????????????????????????????? ???????????????????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????? ?????? ????? ??????????? ????????????? ??????
????????????,"- ????????????????? 5—6 ???
- ????????????? 5 ????
- ??? 15 ???
- ???????? 7 ???
- ?????? 1 ??????
- ??????????? 1/2 ??????
- ??????? 1/2 ??????
- ????????? 1/2 ??????
- ???????????????
- ?????????
- ??????","1. ????????????????????????????? ??? ??????????? ?????????????????? ????????????????????? ?????????? ???????????????????????

2. ???????? ???? ??????????????????????????

3. ??????????????????????????????????? ?????????????? ????????????????????????????? ????????????????? ???? ?????????????????????? ????????????????? ? ??? ???? ?????????

4. ????????????????? ???????? ????????????????????????? ????????????????? ?????? ????????????? ???????????? ???? ?????? ?????? ?????????? ?????? ?????? ?????? ???????????"
????????????,"- ??????? 1 ???
- ??????? 1/2 ????????
- ?????????? 1 ????????
- ??????? 2 ????????
- ???????????????
- ?????????????
- ?????
- ?????????
- ????????
- ?????????
- ?????????
- ??????","??????????????? ??????????????????? 3 ????????? ????????????????????? ? ?????????????????????? ????????????????? ??????????????? ?????????????????????????? ??????????? ??????????????????????? ??????????????????????????????? ???????? ?????? ???????? ???????????????????????



## ?????????????



?????????????????????????????????????? ? ??????????????? ???????????????????? ??????????????????????????????????????????"
????????????,"- ???????? 1 ??????
- ????????????? 1/2 ??????
- ?????????? 1 ????????
- ?????????????",?????????????????????????????????? ?????????????????????? ?????? ????????????????? ????????????????????????????????????? ??????????????????? ?????????? ?????? ?????????????????????? ??????????? ????????? ????????????????????????????????
?????????????????????,"- ??????????????????? 2 ????????
- ??????????? 2 ??
- ???????? 2 ???
- ???????????????? 2 ????????
- ?????????????? 2 ????????
- ?????????????? 1 ????????
- ????????????? 1 ????????
- ????????
- ?????
- ??????",??????? 2 ??? ??????????????????????? ???????????????????????????? ???????????? ????????????????????????? ??????????????????????? ??????????????????? ??????????????? ???????????????????? ?????? ????? ???????????????????? ???????? ??????????? ????????? ???????????????????????????
????????????????,"- ??????????? ? 1 ??
- ???????? 1/2 ????????
- ??????? 1 ???
- ???????? 3 ????
- ?????????????? 10 ???
- ???????? 10 ????
- ?????????????? 2 ????????
- ?????????? ? 5 ????
- ??????????????????? 2 ?????????
- ??????? 5 ????
- ?????????????????????? 2 ???????????
- ?????????? 30 ???
- ????????? 1/2 ??????
- ?????? 2 ???
- ????? 1 ???
- ??????? 2 ???
- ????????
- ?????",????????????????????? ???????????????????????????? ???????????????????????????????????? ????????????????????????????? ???????????????????????????????????? ?????????????????????? ?????????????????????? ??????????????????????????????????????? ???????????????????????????????????????? ??????? ??????????????????? ??????????????????????? 5 ?????????????????? ????????????????????????????????? ??????????????????????????? ???????????????????????????????? ??????????????????????????????? ? ???????? ??????????????????????????? 15 ??????????
???????????????????????,"- ???????? 1 ????????
- ?????????? 1 ????????
- ??? 3 ????
- ????????? 1/4 ????????",?????????? ??????????????? 1 ??? ???????????????? ??????????????????????????????????????? ??????????????????????????????????????????? ???????????? ??????????????????????????? ??????????????????????????????????????
??????????,"- ??????? 1/4 ????
- ????????? 1 ??????
- ?????? 1 ???
- ???????? 1 ????
- ?????????????????????????
- ??????
- ???????","??????????????? ???????????????????? (??????????????) ?????????????????????????????????? ???????????????????????????? ??????????????? 2 ???? ????????????????? ??????????????????????? 1 ????????????????????????????????????????? ? ???????????????????????????? ??????????????? ????????????



**????????** ????????????????? ??????????????????????????"
??????,"- ??????????????????????????? 1 ????
- ??????? 15 ????
- ???????????????????? 1/2 ????
- ???????? 1/2 ????
- ??????????????? 1 ????
- ???????????????????? 2 ????????
- ?????????????? 1 ????????
- ???????????????? 1 ????????
- ????????? 1 ????????
- ??????????????? 2 ????????
- ????????
- ?????
- ??????????????????????
- ????????????????????????
- ???????????? 3 ???",??????? ???????????????? ???????????????? ????????????????????????? ????????????????????????????? ?????????????????????????????? ???????????????????????????????????????????????????????? ?????????????????????????? ???????? ????? ?????????????????????????????????????????????????? ??????????????????????????? ???????????????????????? ?????????????????? ???????????????? ????????????? ?????????????????????????? ?????? ????????????? ?????????????????????????? ????????? ?????????? ?????????????????? ???????????????? ?????????????????????????????????????? ????????????? 3 ?? ???????????? ? ??????????????????????????? ?????????
????????????????,"- ?????????????? 2 ???????
- ??????? 1/2 ????????
- ???????????? 3 ????????
- ??????????????????? 1 ????
- ???????? 7 ????
- ?????? 7 ???
- ???? ?????? 1/3 ??????
- ???????????? 1 ??????",??????????????????????????????????????????????????? ? ??????????????????????????? ?????????????????? (????????????????????????????????????????) ?????????????????????????????????????????? ??????????????????????????????????????? ???????????????????? ???????????????????????????????????
??????????,"- ????? 5 ??
- ????????????????? 2 ????????
- ????????????? 1 ????????
- ????? 5 ???
- ??????????",????????????????? ?????????????????????????????? ??????????????????? ????????????????? ???? ?????????????????????????? ?????????????? ??????????????????????????????????????????? ???? ? ??????????????????????????????????????????? ???????????????? ?????????????????? ? ?????????????????????????? ???????????????????????? ????????????????? ?????????????????????????? ? ?????????????????????????????? ???????????????????????? ?????????????????? ???????????????? ????????????????????????????????????????????????????????????????? 5-6 ??? ???? ? ????????????????????????????? 2 ??? ?????????????????????????
????????????,"- ?????????????? (????????????????) 5 ????
- ??????????? 1 ??????
- ????????????????? 1 ????????
- ??????????????? ??????????????????? 1 ???????
- ?????????????
- ??????
- ?????
- ????????",?????????????????????????????? ??????????????????? ???????????????????? ???????????????????????????? ????????????????? ??????????????????????????????? ???????? ??????? ??????????????????? ?????? ??????????????????????????????????? ??????????????????????????????? ????????????????????????????????? ??????????????????????? ?????????????????????????????????????? ????????????? ? ?????????? ???????? ??????????? ?????????????? ?
????????????????,"- ?????????????????????????????? 1 ????????
- ???????? .300 ????????
- ?????????? 2 ???
- ???????? ????????????? ?????? ???????????????? ??????? 1 ???????????
- ?????????? 2 ????????
- ??????
- ?????????????",??????????????????????????????????? ????????????????????????? 15 ????????? ??????? ???????????????????? ???????????????????????????????????????????????? ???????????????????????????????????? ????????????????????????????? ?????????? ???????????? ???????????????????????????????????????? ??????????????????????????????? ????????????????????????? 3 ????????? ?????????????????????????? (???????????????????? ???????????????????????) ????????????????????????????? ?????????????????????? ????????????????????????????? ??????????????????????? ????????????????????????????????????????????????????? ????????????????? ???? 10 ?????????? ???????? ???????????????????? ? ???????????????? ????????? ?????? ????????????????????????
?????????????????????,"- ??? 3 ???? ???????????? 1/4 ????????
- ???????????? ??????????? 1 ??????
- ????????? 1 ????????
- ???????? 3 ????
- ???????? 5 ???
- ??????? 5 ????
- ??????","??????????????????????? 2 ??? 3 ????????? ??? 1/2 ????????? ??????????????????? ???????????? ??????? ?????????????????? ??????????????????? ????????????????????????????????? 2 1/2 ?????? ??????????????????????????? ????????????????



**????????** ???????????????????????????????? ???????????????????????????????????? ????????????????????????????????????????????????? ???????????????????????????????????????"
????????????,"- ??????????????? 2 ????????
- ??????? 2 ???
- ??????? 2 ???
- ????????? 60 ?????????
- ???????????????? 6 ????
- ??????????? 5 ???
- ???????? 3 ????
- ????????? 2 ????????",?????????????????? ???????????????????????? 2 ?????? ??????????????????????????? ?????????????????? ?????????????????????????????? ???????????????????????????????????????????????????????? ?????????????????????????????????????????????????????????????? 3 ????????? ????????????? (??????????????????????) ??????????????? (????????????????) ???????????????????????????????????? ???????????????? ? ??????? .7 ????????? ??????????????? ? ??????????????????????? 6 ??? ??????????????????????????????? ??????????????????????????????????? ???????????? ? ???? 3 ????????? ???????????????????????????????????????????????????????? ? ????????? 1/2 ????????? ????????????????????????? ? ??? 2 ???????????????????????? ?????????????????? ??????????????? ????????????????????? ??????????????????????????????????????? ??????????????????????????? ??????????????????? ??????????????????
??????," - ??????????
- ????????
- ??????
- ???????
- ???????
- ???????????
- ???????
- ????????
- ?????????????
- ???????????
- ??????
- ??????
- ??????
- ?????",?????????????????????????????????? ? ??????????????????????? ????????????????????????????????? ???????? ?????? ?????????????????????? ? ??????? 2 ????????? ?????????????????? ?????????????????????? ?????????? ? ?????????????? ?????????????? ?????????? ?????? ?????? ????? ???????? ?????????????????????? ??????????? ???????? ????????????? ????????????
??????????,"- ?????????????????? 1 ????
- ?????????????????????? 4 ????
- ????????? 5 ????
- ???????? 5 ????",????????????????????????? ??????????????????????? ?????????????????????????????????????????????????????? ????????????????????????????????????????????????? ???????????? ????????????????????????????????????????????? ? ???? ? ?????????????????????????????? ? ?????????? ???????????????????????????????????????? ?????????????????????????????????????? ?????????????????????????????????????????? ??????????????? ?????? ? ?????????? ??????? ?????????????????? ?
??????????,"- ?????????????????? ???????? 6*9 ????????? ??? 1 ????????? 3 ????
- ???????? 7 ???
- ??????? 3 ????
- ???????????????? 3 ????
- ???????? 1 ?????????
- ????????? 2 ????????","??????????????? (?????????????????????????????????????????????????????????) ???????????? ??????? ???????? ??????????????? ???????????? ???????????????????????? ???????????????????????????? ??????????????? ???????????? ??????????????????????????? 3 ???? ????????????????????????????? ?????????????????????????????????????? ??????????????? 2 ???????? ????????????? ???????????? ?????????????????????????????????????



**????????** ?????????????????????? ?????????????? ???????????????????? ??????????????????????????? ???????????????????????"
????????????????,"- ??????????? 1 ??????
- ????????????????? 2 ????????
- ????????????? ? 2 ????????
- ?????
- ??????????
- ??????????",?????????? ??????????????????? ??????????????? ? ?????????????????? ????????????????????? ??????????????????????????????????????? ??????????????? ????????? ???????????????????????? ??????????????
????????,"- ???????? 1 1/4 ????
- ?????????? 1/2 ????
- ????? 1 ??????
- ???? 2 ??????
- ?????? 1 ???
- ???? 1/3 ??????
- ???????? 2 ??????
- ????? 4 ??","???????? ?????? ????? ???? ??????? ???????????????????? ??????????? ?? ??????????????? ??????????????? ???????????????????????? 1 1/2 ?.?. ???????????????????????



## ???????



?????????? ? ??????????????? ?????????????????????????????????? 4-6 ????"
?????????,"- ??????? 1 ??? ???????????? 5 ?????????
- ?????????? 1 ????????
- ?????? 5 ???
- ??????
- ??????????????????? 4 ???
- ??????????????????????????????????? 1 ????????
- ???????? 5 ???
- ?????? 3 ????
- ??? 3 ????
- ???????????????
- ??????? 5 ????","?????????????????????????????? ??????????????? ?????? 2 ?????? ????????????? ???????????????????? ?????? ??????????? ???????????? ??????? ?????? ????????????? ????????????? ????????? ????????????????????? ?????????????????????? ?????????????????? ????????? ?????????????????????????? ???????????????????????????????????????? ?????? ????????????? ???????? ??????????? ???????????????????????



**????????** ???????????? ????????????????? ??????????? ?????????? ???????????? ?????? ???"
????????,"- ??? 1 ??? ???????????? 5 ?????????
- ??? 2 ??????
- ?????? 1 ???
- ???????? 3 ??
- ??????? 1 ????????
- ?????? ??????????????? 3 ????
- ?????????? (????????????????) 1 ????????
- ????????????? 1 ????????
- ??????
- ?????
- ??????
- ?????
- ??????","??????????????????? ??????????????? ????????????? ????????????????????????? ?????????????????????????????? ?????????????????????????????????????????????????????? ? ?????????????????????? ????????????????????????????????????????????????????????????? ???????? ?????????????????????? ????????? ?????????????????????????????????????? ????????????????????? ? ???????????????????????????????? ???????????????????????? ???????????????????????? ????????????????????????????????????????????????????????? ???????????????????????????????????? ??????????????????????????????? ????????????????? ?????? ????????????? ??????????????????????????????????



## ???????



?????????????????????????? ??? ???????? 5 ???? ??????? 1/2 ?????? ?????????????? ????????????????????????????????????????????? ???????????????????? ?????????????????????????????????"
